date,ticker,sector,entry_time,exit_time,entry,exit,stop,target,shares,cost,gross_pnl,commission,net_pnl,exit_reason,rsi_entry,vol_ratio,atr
2026-04-27,PLUG,Hydrogen,2026-04-27 17:30:00+00:00,2026-04-27 19:00:00+00:00,3.0299,3.0817,3.004,3.0817,16,48.48,0.8282,0.16,0.6682,TARGET,66.0,2.41,0.0173
2026-04-27,PLUG,Hydrogen,2026-04-27 19:15:00+00:00,2026-04-27 19:35:00+00:00,3.0941,3.0626,3.0626,3.1572,16,49.51,-0.5046,0.16,-0.6646,STOP,72.8,2.01,0.021
2026-04-27,PLUG,Hydrogen,2026-04-27 19:40:00+00:00,2026-04-27 19:55:00+00:00,3.075,3.09,3.0402,3.1446,16,49.2,0.24,0.16,0.08,EOD,60.3,1.75,0.0232
2026-04-28,PLUG,Hydrogen,2026-04-28 16:35:00+00:00,2026-04-28 18:45:00+00:00,3.0201,3.025,2.9936,3.0732,16,48.32,0.0784,0.16,-0.0816,EOD,54.3,1.52,0.0177
2026-03-31,F,Auto,2026-03-31 15:35:00+00:00,2026-03-31 15:55:00+00:00,11.415,11.37,11.37,11.5051,4,45.66,-0.1801,0.04,-0.2201,STOP,42.4,1.26,0.03
2026-03-31,F,Auto,2026-03-31 16:35:00+00:00,2026-03-31 16:40:00+00:00,11.445,11.5402,11.3974,11.5402,4,45.78,0.3808,0.04,0.3408,TARGET,55.0,1.32,0.0317
2026-03-31,F,Auto,2026-03-31 17:05:00+00:00,2026-03-31 19:55:00+00:00,11.48,11.515,11.4086,11.6227,4,45.92,0.14,0.04,0.1,EOD,57.5,2.05,0.0476
2026-04-01,F,Auto,2026-04-01 16:30:00+00:00,2026-04-01 19:55:00+00:00,11.64,11.675,11.6022,11.7156,4,46.56,0.14,0.04,0.1,EOD,55.0,1.59,0.0252
2026-04-02,F,Auto,2026-04-02 16:35:00+00:00,2026-04-02 19:55:00+00:00,11.5566,11.59,11.512,11.6458,4,46.23,0.1336,0.04,0.0936,EOD,56.1,1.47,0.0297
2026-04-06,F,Auto,2026-04-06 15:20:00+00:00,2026-04-06 17:05:00+00:00,11.59,11.546,11.546,11.678,4,46.36,-0.1759,0.04,-0.2159,STOP,53.0,1.76,0.0293
2026-04-06,F,Auto,2026-04-06 19:30:00+00:00,2026-04-06 19:55:00+00:00,11.575,11.6,11.5486,11.6278,4,46.3,0.1,0.04,0.06,EOD,58.2,1.54,0.0176
2026-04-07,F,Auto,2026-04-07 16:00:00+00:00,2026-04-07 18:45:00+00:00,11.505,11.4472,11.4472,11.6207,4,46.02,-0.2313,0.04,-0.2713,STOP,57.4,3.03,0.0386
2026-04-07,F,Auto,2026-04-07 19:15:00+00:00,2026-04-07 19:55:00+00:00,11.515,11.535,11.4592,11.6266,4,46.06,0.08,0.04,0.04,EOD,51.9,1.48,0.0372
2026-04-08,F,Auto,2026-04-08 16:35:00+00:00,2026-04-08 18:00:00+00:00,12.1299,12.2157,12.087,12.2157,4,48.52,0.3432,0.04,0.3032,TARGET,63.5,1.21,0.0286
2026-04-08,F,Auto,2026-04-08 18:10:00+00:00,2026-04-08 18:15:00+00:00,12.225,12.1873,12.1873,12.3003,4,48.9,-0.1506,0.04,-0.1906,STOP,69.9,1.78,0.0251
2026-04-08,F,Auto,2026-04-08 18:20:00+00:00,2026-04-08 18:40:00+00:00,12.225,12.1778,12.1778,12.3194,4,48.9,-0.1887,0.04,-0.2287,STOP,64.2,2.24,0.0315
2026-04-09,F,Auto,2026-04-09 15:20:00+00:00,2026-04-09 16:00:00+00:00,12.1324,12.2512,12.073,12.2512,4,48.53,0.4751,0.04,0.4351,TARGET,60.6,2.86,0.0396
2026-04-09,F,Auto,2026-04-09 16:15:00+00:00,2026-04-09 16:45:00+00:00,12.2301,12.1809,12.1809,12.3285,4,48.92,-0.1968,0.04,-0.2368,STOP,70.8,1.22,0.0328
2026-04-09,F,Auto,2026-04-09 17:40:00+00:00,2026-04-09 18:00:00+00:00,12.2301,12.1956,12.1956,12.2992,4,48.92,-0.1382,0.04,-0.1782,STOP,60.1,1.57,0.023
2026-04-10,F,Auto,2026-04-10 18:25:00+00:00,2026-04-10 18:45:00+00:00,12.175,12.1494,12.1494,12.2262,4,48.7,-0.1024,0.04,-0.1424,STOP,74.7,1.3,0.0171
2026-04-13,F,Auto,2026-04-13 16:05:00+00:00,2026-04-13 19:50:00+00:00,12.035,12.124,11.9905,12.124,4,48.14,0.3558,0.04,0.3158,TARGET,49.7,1.27,0.0297
